name,name_for_emails,site,subtypes,category,type,email_1,phone
Hotel Le Cerbaie,Hotel Le Cerbaie,https://www.hotelcerbaiealtopascio.com/,Hotel,hotels,Hotel,prenotazioni@hotelcerbaiealtopascio.it,+39 0583 190 0785
Cavalieri del Tau,Cavalieri Del Tau,http://www.cavalierideltau.it/,"Hotel, Restaurant",hotels,Hotel,info@cavalierideltau.it,+39 0583 25131
BB La porta di San Rocco,Bb La Porta Di San Rocco,http://www.laportadisanrocco.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,altopasciobb@gmail.com,+39 388 366 9468
Hotel Paola,Hotel Paola,http://www.hotelpaolalucca.it/,Hotel,hotels,Hotel,info@hotelpaolalucca.it,+39 0583 276453
Agriturismo Sibolla,Agriturismo Sibolla,http://www.sibollaholidays.com/,"Bed & breakfast, Swimming basin",Bed & Breakfast,Bed & breakfast,sibollaholidays@gmail.com,+39 349 626 3270
Il Verreno Resort - Cucina Donnaluisa,Il Verreno Resort Cucina Donnaluisa,http://www.ilverreno.com/,"Resort hotel, Extended stay hotel, Restaurant",hotels,Resort hotel,liz@ilverreno.com,+39 334 704 8353
Albachiara Inn,Albachiara Inn,http://www.albachiarainn.it/,"Hotel, Apartment complex, Extended stay hotel, Holiday apartment rental, Holiday home, Holiday apartment",hotels,Hotel,info@albachiarainn.com,+39 334 112 7155
Ala Bianca,Ala Bianca,http://www.hotelalabianca.com/,"Hotel, Pizza restaurant, Restaurant",hotels,Hotel,info@hotelalabianca.it,+39 0187 195 3460
Le Camere di Giò,Le Camere Di Giò,http://www.lecameredigio.it/,"Bed & breakfast, Holiday home",Bed & Breakfast,Bed & breakfast,info@lecameredigio.it,+39 340 928 6696
Hotel Garden,Hotel Garden,http://www.hotelgardenboccadimagra.it/,Hotel,hotels,Hotel,hotelgardenboccadimagra@gmail.com,+39 0187 670773
Il Pero di Cetinale,Il Pero Di Cetinale,http://www.ilperodicetinale.com/,Extended stay hotel,hotels,Extended stay hotel,margherita@ilperodicetinale.com,+39 338 545 8399
Casa vacanze Il Nido sulla Ruga,Casa Vacanze Il Nido Sulla Ruga,https://ilnidosullaruga.it/,Hotel,hotels,Hotel,anghiari2016@yahoo.com,+39 349 084 6772
Azienda Casalino,Azienda Casalino,http://www.azienda-casalino.com/,Hotel,hotels,Hotel,info@azienda-casalino.com,+32 496 91 33 32
Bed & Breakfast Locanda del Viandante (No Swimming Pool),Bed And Breakfast Locanda Del Viandante No Swimming Pool,http://www.locandadelviandante.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@locandadelviandante.com,+39 334 795 6056
Agriturismo La Scarpaia,Agriturismo La Scarpaia,http://www.lascarpaia.it/italiano.html,"Farmstay, Bed & breakfast",Farmstay,Farmstay,info@lascarpaia.it,+39 333 967 7867
Il Giardino Nascosto Affittacamere - B&B,Il Giardino Nascosto Affittacamere B And B,http://www.ilgiardinonascosto.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@ilgiardinonascosto.com,+39 339 456 8430
Ca del Bocca apartments,Ca Del Bocca Apartments,http://www.affittacamere.arezzo.it/,"Farmstay, Bed & breakfast",Agriturismo,Farmstay,appartamenticadelbocca@gmail.com,+39 328 204 4732
Relais La Commenda - Luxury Villa,Relais La Commenda Luxury Villa,http://www.relaislacommenda.com/,"Farmstay, Hotel",Agriturismo,Farmstay,info@relaislacommenda.com,+39 0575 723356
Hotel La Meridiana,Hotel La Meridiana,https://hotellameridiana.it/,Hotel,hotels,Hotel,nfo@hotellameridiana.it,+39 0575 788102
Villa Ada Ansedonia,Villa Ada Ansedonia,https://villa-ada1.webnode.page/,Hotel,hotels,Hotel,villa.ada.ansedonia@gmail.com,
Villa il Colle,Villa Il Colle,https://www.villailcolle.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villailcolle.it,+39 055 621822
Farm Palazzina,Farm Palazzina,https://www.lapalazzina.info/,"Farmstay, Hotel",Agriturismo,Farmstay,info@agriturismolapalazzina.com,+39 0583 62631
Relais Valguerriera,Relais Valguerriera,http://www.valguerriera.it/,Hotel,hotels,Hotel,info@valguerriera.it,+39 334 667 4370
Thalassa Locanda B&B e appartamento,Thalassa Locanda B And B E Appartamento,http://www.thalassabeb.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,paul@evotraining.se,+39 320 907 6376
Agriturismo Bio I Rondinelli,Agriturismo Bio I Rondinelli,http://www.agriturismorondinelli.it/,"Farmstay, Bed & breakfast, Cattle farm, Country house, Organic farm, Thermal baths",attractions,Farmstay,info@agriturismorondinelli.it,+39 391 914 2156
Bed & Breakfast Amiata Grosseto,Bed And Breakfast Amiata Grosseto,http://www.bebamiata.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bebamiata.it,+39 368 990 970
Toscana Wellness Resort,Toscana Wellness Resort,https://www.toscanawellnessresort.com/,"Hotel, Convention center, Event venue, Meditation center, Resort hotel, Restaurant, Retreat center, Spa, Wellness hotel, Yoga retreat center",hotels,Hotel,direzione@toscanawellnessresort.it,+39 0564 171 5700
B&B Da Giusè,B And B Da Giusè,https://www.bbdagiuselerici.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,elide.dagiuse@gmail.com,+39 339 172 8379
Locanda Luci sul Golfo,Locanda Luci Sul Golfo,http://www.lucisulgolfo.it/,"Bed & breakfast, Inn, Restaurant",Bed & Breakfast,Bed & breakfast,lucisulgolfo@yahoo.it,+39 338 259 5915
B&B Borgo degli Angeli Arcola,B And B Borgo Degli Angeli Arcola,https://www.borgodegliangeliarcola.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@borgodegliangeliarcola.it,+39 347 063 3948
Albergo La Mimosa,Albergo La Mimosa,http://www.albergolamimosa.com/,"Hotel, Restaurant",hotels,Hotel,info@albergolamimosa.com,+39 0187 967542
B&B Podere Morucciola,B And B Podere Morucciola,http://www.poderemorucciola.com/,"Bed & breakfast, Holiday apartment rental, Holiday home",Bed & Breakfast,Bed & breakfast,info@poderemorucciola.com,+39 347 165 2877
Alla Casalta B&B,Alla Casalta B And B,http://www.allacasalta.it/,"Bed & breakfast, Apartment complex",Bed & breakfast,Bed & breakfast,info@allacasalta.it,+39 0187 988694
Hotel Gennarino,Hotel Gennarino,https://www.hotelgennarino.it/,Hotel,hotels,Hotel,info@hotelgennarino.it,+39 0586 803109
VILLA DEL LUPO,Villa Del Lupo,http://www.villadellupo.it/,"Villa, Extended stay hotel, Resort hotel",attractions,Villa,info@villadellupo.it,+39 347 766 5618
Graziella Patio Hotel,Graziella Patio Hotel,https://www.hotelpatio.it/mobile/it/home.html,Hotel,hotels,Hotel,info@hotelpatio.it,+39 0575 401962
B&B Maestà di Cudino,B And B Maestà Di Cudino,http://www.maestacudinoarezzo.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@maestacudinoarezzo.com,+39 331 422 7166
Dimora Storica Bella di Ceciliano - Residenza d'Epoca con solarium e idromassaggio in terrazza Arezzo Val di Chiana Valdarno,Dimora Storica Bella Di Ceciliano Residenza Depoca Con Solarium E Idromassaggio In Terrazza Arezzo Val Di Chiana Valdarno,http://belladiceciliano.it/,"Farmstay, Bed & breakfast, Inn, Villa",Agriturismo,Farmstay,bella@belladiceciliano.it,+39 345 442 4979
Bed and Breakfast Dolce Etruria,Bed And Breakfast Dolce Etruria,http://www.dolceetruria.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@dolceetruria.it,+39 0575 352437
Affittacamere LA MUSA,Affittacamere La Musa,https://www.bblamusa.it/,Hotel,hotels,Hotel,info@bblamusa.it,+39 342 519 9682
Ca de Guelfi residenza d'epoca,Ca De Guelfi Residenza Depoca,http://www.cadeguelfiarezzo.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,cadeguelfi@gmail.com,+39 331 102 5342
La Corte,La Corte,https://beblacortearezzo.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@beblacortearezzo.it,+39 339 292 3825
Hotel Continentale,Hotel Continentale,https://www.hotelcontinentale.com/,Hotel,hotels,Hotel,info@hotelcontinentale.com,+39 0575 20251
Agriturismo Antecchia,Agriturismo Antecchia,http://www.antecchia.it/,"Farmstay, Hotel",Agriturismo,Farmstay,antecchia@gmail.com,+39 0575 361711
Mivà di più,Mivà Di Più,http://www.mivadipiu.com/,"Restaurant, Apartment complex, Bed & breakfast, Holiday home, Meal delivery, Pizza restaurant",restaurants,Restaurant,info@mivadipiu.com,+39 0575 352182
La Ghirlanda B&B,La Ghirlanda B And B,http://www.laghirlandabb.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@laghirlandabb.it,+39 335 627 2306
B&B La Villa di Arezzo,B And B La Villa Di Arezzo,http://www.lavilladiarezzo.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@lavilladiarezzo.it,+39 333 523 6925
B & B Il Castelluccio,B And B Il Castelluccio,https://beb.ilcastelluccio.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,beb@ilcastelluccio.com,+39 392 905 4540
B & B San Lorentino House,B And B San Lorentino House,http://www.sanlorentinohouse.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@sanlorentinohouse.com,+39 380 471 8080
Garden Hotel Arezzo,Garden Hotel Arezzo,http://www.gardenhotelarezzo.it/,Hotel,hotels,Hotel,info@gardenhotelarezzo.it,+39 0575 363363
Farmhouse Residenza Ca De Frati,Farmhouse Residenza Ca De Frati,https://www.cadefrati.com/,"Farmstay, Banquet hall, Barbecue area, Bed & breakfast, Children's party service, Hotel, Outdoor swimming pool, Serviced accommodation, Holiday apartment, Wedding venue",Agriturismo,Farmstay,info@cadefrati.com,+39 342 082 0384
Borgomaestro B&B,Borgomaestro B And B,http://www.borgomaestrobb.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@borgomaestrobb.com,+39 335 777 1378
Sweet Tuscany,Sweet Tuscany,http://www.sweet-tuscany.com/,"Apartment complex, Bed & breakfast",Appartamenti,Apartment complex,info@sweet-tuscany.com,+39 393 090 9912
Casa Podere San Firenze,Casa Podere San Firenze,http://www.casapoderesanfirenze.it/,"Bed & breakfast, Apartment complex",Bed & Breakfast,Bed & breakfast,gabriella.fiorini@libero.it,+39 0575 360486
VILLA SARGIANO Oasi di Felice Benessere nel Cuore Italiano della Toscana,Villa Sargiano Oasi Di Felice Benessere Nel Cuore Italiano Della Toscana,http://www.villasargiano.com/,"Villa, Farmstay, Non smoking holiday home, Outdoor swimming pool, Resort hotel",attractions,Villa,info@villasargiano.com,+39 0575 178 3276
Hotel Piero Della Francesca & Ristorante Pizzeria 129,Hotel Piero Della Francesca And Ristorante Pizzeria 129,http://www.hotelpierodellafrancesca.it/,"Hotel, Pizza restaurant, Restaurant",hotels,Hotel,info@hotelpierodellafrancesca.it,+39 0575 908464
B&B Francesco Redi,B And B Francesco Redi,http://www.bedandbreakfast-arezzo.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,omeromugnai@francescoredi.com,+39 338 386 6150
Hotel le Capanne,Hotel Le Capanne,http://www.hotellecapanne.net/,Hotel,hotels,Hotel,info@hotellecapanne.com,+39 0575 959634
Casa Di Gello,Casa Di Gello,https://www.azionecattolicaarezzo.it/casa-di-gello/,Hotel,hotels,Hotel,info@azionecattolicaarezzo.it,+39 333 486 8896
Residence Le Gagliarde Casa Vacanza,Residence Le Gagliarde Casa Vacanza,http://www.residencelegagliarde.com/,"Extended stay hotel, Apartment complex, Holiday home, Self-catering accommodation, Serviced accommodation, Spa garden, Holiday apartment",hotels,Extended stay hotel,info@residencelegagliarde.com,+39 338 829 5649
Hotel Il Gentiluomo,Hotel Il Gentiluomo,http://www.hotelgentiluomo.com/,Hotel,hotels,Hotel,marketing@hotelgentiluomo.com,+39 0575 145 1006
BioBenessere B&B,Biobenessere B And B,https://www.biobenesserebnb.bio/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@biobenesserebnb.bio,
Guest House Sette Note,Guest House Sette Note,https://www.settenoteguesthousearezzo.it/,Hotel,hotels,Hotel,info@settenoteguesthousearezzo.it,+39 334 736 4807
Casa Volpi,Casa Volpi,http://www.residencecasavolpi.it/,"Restaurant, Hotel, Italian restaurant",restaurants,Restaurant,info@casavolpi.com,+39 0575 354364
Le Rime,Le Rime,http://lerimearezzo.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@lerimearezzo.it,+39 392 111 1551
Al Principe,Al Principe,http://www.bebalprincipe.it/,"Bed & breakfast, Restaurant, Seafood restaurant",Bed & Breakfast,Bed & breakfast,info@bebalprincipe.it,+39 0575 362046
La casa dei nonni,La Casa Dei Nonni,https://www.lacasadeinonni.net/,"Bed & breakfast, Holiday home",Bed & Breakfast,Bed & breakfast,info@lacasadeinonni.net,+39 366 288 7491
Casa Signora Claudia,Casa Signora Claudia,http://www.casasignoraclaudia.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@casasignoraclaudia.it,+39 347 522 2276
Aparthotel Arezzo - Residence le Corniole,Aparthotel Arezzo Residence Le Corniole,http://www.lecorniole.it/,"Extended stay hotel, Hotel",hotels,Extended stay hotel,residencearezzo@gmail.com,+39 0575 191 3714
Hotel Minerva,Hotel Minerva,https://www.hotel-minerva.it/%3Futm_source%3Dgoogle_maps%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness,"Hotel, Banquet hall, Bar, Convention center, Event venue, Fitness center, Restaurant, Wedding venue",hotels,Hotel,info@hotel-minerva.it,+39 0575 370390
Jenny's Country Dreamhouse,Jennys Country Dreamhouse,http://www.jennys.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@jennys.it,+39 340 379 2165
Antica Cittadella B&B,Antica Cittadella B And B,https://www.anticacittadella.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@anticacittadella.it,+39 333 564 1388
Hotel Cecco,Hotel Cecco,https://www.hotelcecco.com/index.php%3Flang%3Dit,"Hotel, Restaurant",hotels,Hotel,info@hotelcecco.com,+39 0575 20986
iConic Wellness Resort,Iconic Wellness Resort,https://www.iconicresort.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@iconicresort.com,+39 0575 964100
Elda Country House,Elda Country House,https://elifrecommends.eu/elda-country-house-italy,Bed & breakfast,Bed & Breakfast,Bed & breakfast,brezzamarinabarletta@gmail.com,+39 0575 361768
B&B Non ti scordar di me,B And B Non Ti Scordar Di Me,https://www.bbnontiscordardime.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,michelefiacchini@gmail.com,
Apartments Le Bilodole,Apartments Le Bilodole,http://www.bilodole.it/,"Housing development, Bed & breakfast",Complesso residenziale,Housing development,info@bilodole.it,+39 0575 364655
Locanda del Canto,Locanda Del Canto,http://www.locandadelcanto.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@locandadelcanto.it,+39 334 367 2981
Hotel la Toscana,Hotel La Toscana,http://www.albergolatoscana.com/,Hotel,hotels,Hotel,info@albergolatoscana.com,+39 0575 21692
Camere Da Piero e Paola,Camere Da Piero E Paola,http://www.dapieroepaola.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,dapieroepaola@gmail.com,+39 335 824 7558
Vogue Hotel Arezzo,Vogue Hotel Arezzo,http://www.voguehotel.it/,Hotel,hotels,Hotel,info@voguehotel.it,+39 0575 24361
B&B Cameracaffè Centro,B And B Cameracaffè Centro,http://www.cameracaffe.net/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,centro@cameracaffe.net,+39 338 914 4110
I Portici Hotel Residenza d'Epoca,I Portici Hotel Residenza Depoca,https://www.iporticiboutiquehotel.com/,Hotel,hotels,Hotel,info@iporticiboutiquehotel.com,+39 0575 299901
Il Meriggeto,Il Meriggeto,https://www.ilmeriggeto.com/,"Bed & breakfast, Holiday home",Bed & Breakfast,Bed & breakfast,info@ilmeriggeto.com,+39 366 362 7900
Locanda San Pier Piccolo,Locanda San Pier Piccolo,https://www.locandasanpierpiccolo.it/,Hotel,hotels,Hotel,ctamarisco@gmail.com,+39 0575 20792
La Nuvola Affittacamere,La Nuvola Affittacamere,http://www.lanuvolaaffittacamere.it/,Hotel,hotels,Hotel,lanuvola.arezzo@gmail.com,+39 331 265 8958
Bed & Breakfast Chiusa dei Monaci,Bed And Breakfast Chiusa Dei Monaci,http://www.chiusadeimonaci.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@chiusadeimonaci.it,+39 338 902 1734
Casa Mirko,Casa Mirko,https://casamirko.it/,Bed & breakfast,Bed & breakfast,Bed & breakfast,info@casamirko.it,+39 348 334 0313
Hotel l'Aretino,Hotel Laretino,http://www.laretinohotel.com/,Hotel,hotels,Hotel,info@laretinohotel.com,+39 0575 169 6038
La Cantina Relais - Fattoria Il Cipresso,La Cantina Relais Fattoria Il Cipresso,http://www.ilcipresso.com/,"Hotel, Restaurant",hotels,Hotel,info@ilcipresso.com,+39 0575 979256
Antiche Mura,Antiche Mura,https://www.antichemura.it/,Bed & breakfast,Bed & breakfast,Bed & breakfast,tel.info@antichemura.it,+39 347 314 9146
Bed&Breakfast LORIANA,Bed And Breakfast Loriana,http://www.bedandbreakfast-loriana.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bedandbreakfast-loriana.com,+39 329 484 7656
La Torre di Borgunto - Piazza Grande,La Torre Di Borgunto Piazza Grande,https://theluxuryhome.it/residenza-la-torre-di-borgunto/,"Apartment complex, Bed & breakfast, Holiday home, Hotel",Appartamenti,Apartment complex,info@theluxuryhome.it,+39 331 734 9892
Villa Rossi Mattei,Villa Rossi Mattei,http://www.villarossimattei.com/,Hotel,hotels,Hotel,masieri@villarossimattei.com,+39 349 467 5488
