display_name,types,type,country_code,state,city,county,street,postal_code,address,latitude,longitude,phone,phone_type,email_1,email_1_title,email_1_first_name,email_1_last_name,email_2,email_2_title,email_2_first_name,email_2_last_name,email_3,email_3_title,email_3_first_name,email_3_last_name,linkedin,facebook,twitter,instagram,tiktok,whatsapp,youtube,site,site_ga_code,site_has_google_tag,site_has_fb_pixel,photo,photos_count,rating,rating_history,reviews,range,business_status,business_status_history,booking_appointment_link,menu_link,verified,owner_title,located_in,os_id,google_id,place_id,cid,gmb_link,located_os_id,working_hours,area_service,about,corp_name,corp_employees,corp_revenue,corp_founded_year,corp_is_public,added_at,updated_at,,,,,,,,,,,
Casa Bianco Roma B&B,"Bed & Breakfast, Hotel",Bed & Breakfast,IT,metropolitan city of rome capital,Rome,,"Via Evandro, 24",181,"Via Evandro, 24, 00181 Roma RM",145472.13.00,8859.57.00,393917285486,Mobile,beb.salentino@hotmail.it,,,,bebibisco@hotmail.it,,,,beblacasagialla@gmail.com,,,,,,,,,,,https://www.bed-and-breakfast.it/it/lazio/bb-casa-bianco-roma/59799?refresh,,,,https://lh5.googleusercontent.com/p/AF1QipPhLo84-xzCJ9z1uFHKdWdqyQj5-Yv6zYPsVxGt=w800-h500-k-no,110.0,4.7,"4.7 (Aug-2023), 4.8 (Oct-2023), 4.8 (Jan-2024), 4.8 (May-2024), 4.8 (Aug-2024)",30.0,,Operational,"Operational (Aug-2023), Operational (Oct-2023), Operational (Jan-2024), Operational (May-2024), Operational (Aug-2024)",,,TRUE,Casa Bianco Roma,,83b072cc91cd40265cffc0557b4f2d0e,0x132f6202b980055b:0x9377628be8384f05,ChIJWwWAuQJiLxMRBU846Itid5M,10626070198839955205,https://google.com/maps/place/?q=place_id:ChIJWwWAuQJiLxMRBU846Itid5M,,,FALSE,"{'Other': {'Free parking': True, 'Free breakfast': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Star rating': None, 'Check-out time': '10:00', 'Check-in time': '14:00', 'Identifies as women-owned': True}, 'Amenities': {'Free Wi-Fi': True, 'Free breakfast': True}}",,10,1000000,,FALSE,2021-05-08T17:19:00.154000,2024-10-23T11:04:28.260000,,,,,,,,,,,
Borromeo Hotel,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Cavour, 117",184,"Via Cavour, 117, 00184 Roma RM",149519.43.00,8266.15.00,3906485856,Mobile,hello@fiaformulae.com,,,,info@hotelborromeo.com,,,,reservationsborromeo@gmail.com,,,,,,,,,,,https://www.hotelborromeo.com/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHqOuFVLYr_DZxSPNX_7BWe5q-xb6aliG6w4UgCdTF7XIeHuWd3Z3zv0TRkmPScUCSb4l5ZHYwh3UNJtAI9x5j2cn90xQt0NyHg11KApx7HpAuTKlkRYxX2vMgvrE7Y8DeGr6fP0CwDtMTJ4RwvWGucMjVlzWLmU7wDv4LAmgQYE32FVg4xhTn50Q=w800-h500-k-no,542.0,4.1,"4.1 (Jun-2023), 4.1 (Aug-2023), 4.1 (Oct-2023), 4.1 (Jan-2024), 4.1 (May-2024)",786.0,3 stars,Operational,"Operational (Jun-2023), Operational (Aug-2023), Operational (Oct-2023), Operational (Jan-2024), Operational (May-2024)",,,TRUE,Borromeo Hotel,,f598ab55a5c70c9d2c324d58b5d04d5f,0x132f61b00010ba4f:0x2fbe02f6533ce768,ChIJT7oQALBhLxMRaOc8U_YCvi8,3440190422339348328,https://google.com/maps/place/?q=place_id:ChIJT7oQALBhLxMRaOc8U_YCvi8,,,FALSE,"{'Crowd': {'LGBTQ+ friendly': True}, 'Other': {'Airport shuttle': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': '3 stars', 'Check-out time': '11:00', 'Check-in time': '14:00', 'LGBTQ+ friendly': True}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2021-08-04T21:23:06.841000,2024-10-19T01:20:23.358000,,,,,,,,,,,
Hotel Fiori Roma,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Nazionale, 163",184,"Via Nazionale, 163, 00184 Roma RM",149538.09.00,81210.47.00,39066795525,Fixed Line,hotelfiori@pec.it,,,,hotelfiori@tiscalinet.it,,,,info@hotel-fiori.com,,,,,,,,,,,http://www.hotel-fiori.com/,,,,https://lh5.googleusercontent.com/p/AF1QipP2ALUN8XY2RGchGChgFoWl1m3-XXfPnd0TCB27=w800-h500-k-no,373.0,3.9,"3.8 (Apr-2023), 3.8 (Jun-2023), 3.8 (Jul-2023), 3.8 (Jan-2024), 3.8 (Apr-2024)",453.0,2 stars,Operational,"Operational (Apr-2023), Operational (Jun-2023), Operational (Jul-2023), Operational (Jan-2024), Operational (Apr-2024)",,,TRUE,Hotel Fiori Roma,,39a4b166556ea3ec8e30a74c95f6be09,0x132f61b264032091:0x6a04746945669e59,ChIJkSADZLJhLxMRWZ5mRWl0BGo,7639358863411945049,https://google.com/maps/place/?q=place_id:ChIJkSADZLJhLxMRWZ5mRWl0BGo,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '2 stars', 'Check-out time': '11:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2020-12-28T20:39:45.764000,2024-08-29T19:07:03.908000,,,,,,,,,,,
Park Hyatt Milan,Hotel,Hotel,IT,metropolitan city of milan,Milan,,"Via Tommaso Grossi, 1",20121,"Via Tommaso Grossi, 1, 20121 Milano MI",77592.19.00,9.188.984.399.999.990,390288211234,Fixed Line,acanada@hyatt.com,Sales Vice President,anita,canada,adavis@hyatt.com,Director Of Human Resources,anne,davis,adinawolf@ameritech.net,"Human Resources Information Systems Manager, Recruiting Technology Systems",Adina,Wolf,,,,,,,,https://www.hyatt.com/en-US/hotel/italy/park-hyatt-milan/milph?src=corp_lclb_google_seo_milph,,,,https://lh5.googleusercontent.com/p/AF1QipMKsas_c0hl3LYcTZoelfPiV-9TOFGso5ZZolDb=w800-h500-k-no,2626,4.7,"4.6 (May-2023), 4.6 (Aug-2023), 4.6 (Sep-2023), 4.6 (Nov-2023), 4.6 (Apr-2024)",1417,5 stars,Operational,"Operational (May-2023), Operational (Aug-2023), Operational (Sep-2023), Operational (Nov-2023), Operational (Apr-2024)",,,TRUE,Park Hyatt Milan,,bf4af5bbe57d88f3d036643a890fe95c,0x4786c6adced845f5:0x2db5f1ccc7a9ec74,ChIJ9UXYzq3GhkcRdOypx8zxtS0,3293804564316810356,https://google.com/maps/place/?q=place_id:ChIJ9UXYzq3GhkcRdOypx8zxtS0,,,FALSE,"{'Other': {'Pool': True, 'Spa': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Star rating': '5 stars', 'Check-out time': '12:00', 'Check-in time': '15:00'}, 'Amenities': {'Free Wi-Fi': True}}",,100000,10000000000,,TRUE,2020-10-30T10:56:15.591000,2024-10-23T12:49:55.808000,,,,,,,,,,,
Relais Trevi 95 Boutique Hotel 4 Stelle nel cuore di Roma,"Hotel, Restaurant",Hotel,IT,metropolitan city of rome capital,Rome,,"Via Del Lavatore, 95",187,"Via del Lavatore, 95, 00187 Roma RM",15065.32.00,80830.51.00,390669940834,Fixed Line,info@relaistrevi95.com,,,,trevipalacesrl@pec.it,,,,,,,,,,,,,,,https://www.relaistrevi95.com/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhERZIWiBs5J6mtSzpHWfTOWbMhuP97jht1TWYLSpguTQWm5Mly5ZeyQKdprALOXQS7dZ40ShL23eV2eIJw5IGAaC0bahZxtn1CdqgdN6iWzBErUNbDqFH4CMcNeNyX_Fx0b3DphgiS_c3mW9aIgV0pScEQNrh1PI3yMm_8hwFw5KoRhHIPsbfb-=w800-h500-k-no,846.0,4.5,"4.6 (Jan-2023), 4.5 (Mar-2023), 4.5 (Aug-2023), 4.5 (Jan-2024), 4.5 (Apr-2024)",321.0,4 stars,Operational,"Operational (Jan-2023), Operational (Mar-2023), Operational (Aug-2023), Operational (Jan-2024), Operational (Apr-2024)",,,TRUE,Relais Trevi 95 Boutique Hotel 4 Stelle Nel Cuore Di Roma,,9ad9adc44f69b2e92628f646a66a787f,0x132f60532caf47b1:0x936fb18be44b8f01,ChIJsUevLFNgLxMRAY9L5Iuxb5M,10623905260379016961,https://google.com/maps/place/?q=place_id:ChIJsUevLFNgLxMRAY9L5Iuxb5M,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '4 stars', 'Check-out time': '11:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2022-02-24T10:23:04.642000,2024-10-19T01:11:14.846000,,,,,,,,,,,
The Fifteen Keys Hotel,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Urbana, 6",184,"Via Urbana, 6, 00184 Roma RM",15002.16.00,8270.51.00,390648913446,Fixed Line,info@fifteenkeys.com,,,,svhospitalitysrl@legalmail.it,,,,,,,,,,,,,,,http://fifteenkeys.com/,,,,https://lh5.googleusercontent.com/p/AF1QipM84IWR0KDepF8x4szgWdGoAfrMv2b7XmecJGBf=w800-h500-k-no,263.0,4.8,"4.8 (Oct-2023), 4.8 (Dec-2023), 4.8 (Jan-2024), 4.8 (May-2024), 4.8 (Oct-2024)",174.0,4 stars,Operational,"Operational (Oct-2023), Operational (Dec-2023), Operational (Jan-2024), Operational (May-2024), Operational (Oct-2024)",,,TRUE,The Fifteen Keys Hotel,,5a3a05e2316c277c6a84c8581d25be1b,0x132f61a5589716ad:0x217c5f91f3d275d2,ChIJrRaXWKVhLxMR0nXS85FffCE,2412908580829296082,https://google.com/maps/place/?q=place_id:ChIJrRaXWKVhLxMR0nXS85FffCE,,,FALSE,"{'Other': {'Free breakfast': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': '4 stars', 'Check-out time': '12:00', 'Check-in time': '15:00'}, 'Amenities': {'Free Wi-Fi': True, 'Free breakfast': True}}",,10,1000000,,FALSE,2020-12-28T20:39:45.764000,2024-10-19T01:07:07.012000,,,,,,,,,,,
Casa per ferie “M. Domenica Barbantini,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Ausano Labadini, 20",123,"Via Ausano Labadini, 20, 00123 Roma RM",164354.36.00,65155.03.00,390630317303,Fixed Line,casaperferiemdbarbantini@pec.it,,,,info@casaperferiemdbarbantini.it,,,,,,,,,,,,,,,http://www.casaperferiemdbarbantini.it/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHesJu4Z-MuaKjnCH4EYNTZ0FG8WzmdOBZwRlhS6NAT2XSi2NM2HWTThiGA0kZ8s7FnKpORI_l7u8iR4n9-ysH-R83M-1C5X8xuEANsAmHqTT9cgsRqETgrpO27b0pOyiQuj1OPvrf5giBcNCvh9_NCDLg-0_i3Xql8G0dMd64FhcTyxDqAjQx6yQ=w800-h500-k-no,4.0,4.5,"4.6 (Sep-2023), 4.5 (Jan-2024), 4.5 (May-2024), 4.5 (Aug-2024), 4.5 (Oct-2024)",44.0,,Operational,"Operational (Sep-2023), Operational (Jan-2024), Operational (May-2024), Operational (Aug-2024), Operational (Oct-2024)",,,TRUE,Casa Per Ferie “M. Domenica Barbantini,,68f88b3f89f389443a411cee88dab46b,0x132f5c4d5d49bbb5:0x7eb91cfeffbcc478,ChIJtbtJXU1cLxMReMS8__4cuX4,9131361601008223352,https://google.com/maps/place/?q=place_id:ChIJtbtJXU1cLxMReMS8__4cuX4,,,FALSE,"{'Other': {'Free parking': True, 'Free Wi-Fi': True, 'Wi-Fi': True, 'Star rating': None}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2022-09-12T04:14:24.207000,2024-10-19T01:20:23.358000,,,,,,,,,,,
Principe di Savoia,Hotel,Hotel,IT,metropolitan city of milan,Milan,,"Piazza Della Repubblica, 17",20124,"Piazza della Repubblica, 17, 20124 Milano MI",80031.39.00,32751.52.00,390262301,Mobile,adrianne.lombard@fairmont.com,Service Quality Supervisor For Global Contact Center,Adrianne,Lombard,aiko.accame@dorchestercollection.com,Regional Sales Director For The West Coast Of Usa,Aiko,Accame,ajones@hotelbelair.com,Manager Information Technology,Adam,Jones,,,,,,,,https://www.dorchestercollection.com/milan/hotel-principe-di-savoia,,,,https://lh5.googleusercontent.com/p/AF1QipML5wfb6Ew5WfvsILVk3p8ihC7SOnXrC72Sgqs=w800-h500-k-no,3747,4.7,"Undefined (Feb-2023), 4.7 (Aug-2023), 4.7 (Sep-2023), 4.7 (Oct-2023), 4.7 (Apr-2024)",2474,5 stars,Operational,"Operational (Feb-2023), Operational (Aug-2023), Operational (Sep-2023), Operational (Oct-2023), Operational (Apr-2024)",,,TRUE,Principe Di Savoia,,81baa241740b5d8fd2cea88452a37418,0x4786c6c918d541a1:0x484a659b230ae38,ChIJoUHVGMnGhkcROK4wslmmhAQ,325567977249353272,https://google.com/maps/place/?q=place_id:ChIJoUHVGMnGhkcROK4wslmmhAQ,,,FALSE,"{'Other': {'Pool': True, 'Spa': True, 'Free parking': True, 'Free Wi-Fi': True, 'Star rating': '5 stars', 'Check-out time': '12:00', 'Check-in time': '15:00'}, 'Amenities': {'Free Wi-Fi': True}}",,5000,100000000,,FALSE,2020-11-29T06:45:51.784000,2024-10-23T12:49:55.808000,,,,,,,,,,,
Smart Hotel,Hotel,Hotel,IT,metropolitan city of milan,Milan,,"Via Napo Torriani, 28",20124,"Via Napo Torriani, 28, 20124 Milano MI",8101.19.00,347.52.00,390236668600,Fixed Line,frontoffice@smarthotelmilano.it,,,,smart@operaser.it,,,,,,,,,,,,,,,https://www.smarthotelmilano.it/,,,,https://lh5.googleusercontent.com/p/AF1QipMd48DWo9dzA7_SQuMfjE5UgBDWg4_yGjyg1F-t=w800-h500-k-no,951,4.4,"3.5 (May-2023), 3.6 (Aug-2023), 4.5 (Oct-2023), 4.5 (Jan-2024), 4.4 (Apr-2024)",594,4 stars,Operational,"Closed temporarily (May-2023), Operational (Aug-2023), Operational (Oct-2023), Operational (Jan-2024), Operational (Apr-2024)",,,TRUE,Smart Hotel,,c9539c74e51078c8921647a80a9a1932,0x4786c6c50cf31b73:0xa109e609478f1c4a,ChIJcxvzDMXGhkcRShyPRwnmCaE,11604058842426448970,https://google.com/maps/place/?q=place_id:ChIJcxvzDMXGhkcRShyPRwnmCaE,,,FALSE,"{'Other': {'Free breakfast': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': '4 stars', 'Check-out time': '12:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True, 'Free breakfast': True}}",,10,,,FALSE,2021-03-07T03:29:51.233000,2024-10-23T12:49:55.808000,,,,,,,,,,,
AD Suites Tritone,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Del Tritone, 94",187,"Via del Tritone, 94, 00187 Roma RM",150587.55.00,81117.26.00,393392509768,Mobile,info@ad-suites.com,,,,info@mysite.com,,,,,,,,,,,,,,,http://www.ad-suites.com/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEnNiuhwGuAn6VRW9CeZ-t3J4xKVMkzXU8J5zWsqXBYKx2Rxl-9dt6rHiW4m85SE6Fzt3lrPgSsbOMKk9PXCPB200-_2HaN5Xp90h69zppoheqMeO-QYTvZ_MnSujiqJWY5P-8Jq5jR_LH3KIHoatuXenUWgUunSd4wdUacKsjMqFEe2awO51I=w800-h500-k-no,68.0,4.1,"4.3 (Oct-2023), 4.3 (Dec-2023), 4.1 (Jan-2024), 4.0 (May-2024), 4.1 (Oct-2024)",68.0,,Operational,"Operational (Oct-2023), Operational (Dec-2023), Operational (Jan-2024), Operational (May-2024), Operational (Oct-2024)",,,TRUE,Ad Suites Tritone,,e2a5ada27b02a1ed3d4e75a398a38a75,0x132f612425e26759:0x235405a6587b350d,ChIJWWfiJSRhLxMRDTV7WKYFVCM,2545665901378352397,https://google.com/maps/place/?q=place_id:ChIJWWfiJSRhLxMRDTV7WKYFVCM,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Wi-Fi': True, 'Airport shuttle': True, 'Star rating': None, 'Check-out time': '11:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2023-05-04T14:02:58.342000,2024-10-19T01:07:07.012000,,,,,,,,,,,
Savona 18 Suites - Boutique Hotel,Hotel,Hotel,IT,metropolitan city of milan,Milan,,"Via Savona, 18",20144,"Via Savona, 18, 20144 Milano MI",75919.02.00,9.167.588.799.999.990,39022555201,Fixed Line,booking@bluhotels.it,,,,events@savona18suites.it,,,,privacy@bluhotels.it,,,,,,,,,,,http://www.savona18suites.it/,,,,https://lh5.googleusercontent.com/p/AF1QipNdssqnaWXoeIs5BnM-3E8fcr5xpUFkTzyl7cIS=w800-h500-k-no,312.0,4.6,"4.6 (Aug-2023), 4.6 (Sep-2023), 4.6 (Nov-2023), 4.6 (Apr-2024), 4.6 (Aug-2024)",181.0,4 stars,Operational,"Operational (Aug-2023), Operational (Sep-2023), Operational (Nov-2023), Operational (Apr-2024), Operational (Aug-2024)",,,TRUE,Savona 18 Suites - Boutique Hotel,,7ce314300be3784aadc3f12d25bf0190,0x4786c3e360db4abf:0x2ca1938a90d042aa,ChIJv0rbYOPDhkcRqkLQkIqToSw,3216013832263582378,https://google.com/maps/place/?q=place_id:ChIJv0rbYOPDhkcRqkLQkIqToSw,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '4 stars', 'Check-out time': '12:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,,2021-03-05T16:46:43.394000,2024-10-23T11:04:28.260000,,,,,,,,,,,
Trianon Borgo Pio Srl,"Hotel, Extended Stay Hotel, Serviced Accommodation",Hotel,IT,metropolitan city of rome capital,Rome,,"Piazza Delle Vaschette, 13",193,"Piazza delle Vaschette, 13, 00193 Roma RM",150732.57.00,76959.43.00,390668600849,Fixed Line,info@trianonborgopio.com,,,,info@trianongroup.com,,,,privacy@easyconsulting.com,,,,,,,,,,,https://www.trianonborgopio.com/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGE-KOyonP8eBvyo1Chz8lcgiRvDDX7E-iggRvYaAzbNiC6M0Ary5-r11BaTX1kIeh6sy8WqkVfdjRHzVRwWHNiXZjjOnxxyeUC03Uus4xOKfA5CVkKXYckEnGK7AZ4CyP_4kKUYK9j5t4t-a-_IU5Yk5T2N3ReAWMp4osvONLHNEl6w4ay84c0=w800-h500-k-no,1069.0,4.6,"4.6 (Apr-2023), 4.6 (Aug-2023), 4.6 (Jan-2024), 4.6 (Mar-2024), 4.6 (Apr-2024)",814.0,4 stars,Operational,"Operational (Apr-2023), Operational (Aug-2023), Operational (Jan-2024), Operational (Mar-2024), Operational (Apr-2024)",,,TRUE,Trianon Borgo Pio Srl,,953ed189616eb8bd5f09219c873b2209,0x132f605df377fab1:0x3726deb5fb3d97bd,ChIJsfp3811gLxMRvZc9-7XeJjc,3974108594386606013,https://google.com/maps/place/?q=place_id:ChIJsfp3811gLxMRvZc9-7XeJjc,,,FALSE,"{'Other': {'Free breakfast': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': '4 stars', 'Check-out time': '11:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True, 'Free breakfast': True}}",,10,1000000,,FALSE,2021-03-05T19:30:05.441000,2024-10-16T16:55:02.703000,,,,,,,,,,,
Hotel Giò Wine e Jazz Area,"Hotel, Function Room Facility, Restaurant",Hotel,IT,province of perugia,Perugia,,"Via Ruggero D'Andreotto, 19",6124,"Via Ruggero D'Andreotto, 19, 06124 Perugia PG",18805.19.00,62911.59.00,390755731100,Fixed Line,info@pec.apicehotels.it,,,,reception@hotelgio.it,,,,webmarketing@apicehotels.it,,,,,,,,,,,https://www.hotelgio.it/?utm_source=google,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEqbzbqAG4FDNj5Kn0KMBcA5q00FnxCVV8JkBRRIKHgPin5ZXH03nqrxMSKXS4_I-cx29lt1foha62V5ZhOIJuH3pPp_xvcaVG5j99JDG7R1XWhMoMkpKIZI2cBDAv6zvANUxlyyvrtrhvWdlqxc0E9fqZSfiKzOWHlMKJZW0Pl9GBh69U_Uh4=w800-h500-k-no,3183.0,4.4,"4.3 (Mar-2023), 4.3 (May-2023), 4.3 (Jul-2023), 4.3 (Sep-2023), 4.4 (Oct-2024)",2947.0,4 stars,Operational,"Operational (Mar-2023), Operational (May-2023), Operational (Jul-2023), Operational (Sep-2023), Operational (Oct-2024)",,,TRUE,Hotel Giò Wine E Jazz Area,,e85f5a0bb6f8ce80bb3d0edac618eaf9,0x132ea09b7ee15961:0x3d7ad0d78c64b8ed,ChIJYVnhfpugLhMR7bhkjNfQej0,4430082807664261357,https://google.com/maps/place/?q=place_id:ChIJYVnhfpugLhMR7bhkjNfQej0,,,FALSE,"{'Crowd': {'LGBTQ+ friendly': True}, 'Other': {'Pool': True, 'Free parking': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Star rating': '4 stars', 'Check-out time': '14:00', 'Check-in time': '14:00', 'LGBTQ+ friendly': True}, 'Amenities': {'Free Wi-Fi': True}}",,10,1000000,,FALSE,2020-11-29T06:45:51.784000,2024-10-19T01:07:07.012000,,,,,,,,,,,
AllegroItalia San Pietro All'Orto 6,"Hotel, Extended Stay Hotel, Holiday Apartment",Hotel,IT,metropolitan city of milan,Milan,,"Via S Pietro All'Orto, 6",20121,"Via S. Pietro All'Orto, 6, 20121 Milano MI",821.53.00,32644.41.00,393791299489,Fixed Line,3_a_srl@pec.it,,,,comunicazione@allegroitalia.it,,,,fomportocervo@allegroitalia.it,,,,,,,,,,,https://www.allegroitalia.it/allegroitalia-san-pietro-allorto-6/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGd4YaWArmI1HonaOONxqHW-oy15rc679A6ptRxeF8If7A6C4ti9eqBZCBg0yh6Zchl6ZZDJXkl25BcdsYklvh4PWQfD6MmHZlTNehylehe96OOzG7DmZU2ohEA58yEOzfb5q1pOyEAWn9p0y6t6rIVP16tooiSzGBYyX4_WoqR7A0jczmDte-qIw=w800-h500-k-no,276,4.3,"4.4 (Jan-2023), 4.4 (May-2023), 4.4 (Aug-2023), 4.4 (Sep-2023), 4.4 (Jan-2024)",87,4 stars,Operational,"Operational (Jan-2023), Operational (May-2023), Operational (Aug-2023), Operational (Sep-2023), Operational (Jan-2024)",,,TRUE,Allegroitalia San Pietro All'Orto 6,,55036e24c07eff1b95c5861bcddc1134,0x4786c6aff46a5c5d:0x3fd02b2fe7fd3b0b,ChIJXVxq9K_GhkcRCzv95y8r0D8,4598222704300866315,https://google.com/maps/place/?q=place_id:ChIJXVxq9K_GhkcRCzv95y8r0D8,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '4 stars', 'Check-out time': '12:00', 'Check-in time': '16:00'}, 'Amenities': {'Free Wi-Fi': True}}",,200,,,FALSE,2021-03-05T16:46:43.394000,2024-10-23T12:49:55.808000,,,,,,,,,,,
Hotel,Hotel,Hotel,IT,metropolitan city of milan,Milan,,"Corso Garibaldi, 12",20121,"Corso Garibaldi, 12, 20121 Milano MI",78834.26.00,3076.15.00,,,concierge@mezzatorre.com,,,,events@pellicanohotels.com,,,,guest@pellicanohotel.com,,,,,,,,,,,https://www.mezzatorre.com/en/,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qhO79xjEBl4NULOpzXfQTQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=91.84768&pitch=0&thumbfov=100,1.0,,"Undefined (Mar-2024), Undefined (Jul-2024), Undefined (Sep-2024), Undefined (Oct-2024)",,,Operational,"Operational (Mar-2024), Operational (Jul-2024), Operational (Sep-2024), Operational (Oct-2024)",,,TRUE,Hotel,,afa6769c10ad38edc89f4e7a821a7a08,0x4786c1a0b7818f81:0x4700c6ede2ef70d4,ChIJgY-Bt6DBhkcR1HDv4u3GAEc,5116307901709775060,https://google.com/maps/place/?q=place_id:ChIJgY-Bt6DBhkcR1HDv4u3GAEc,,,FALSE,{},,,,,FALSE,2024-01-12T17:56:14,2024-10-25T07:34:01.631000,,,,,,,,,,,
Parco dei Principi Grand Hotel & SPA,"Hotel, Fitness Center, Indoor Swimming Pool, Outdoor Swimming Pool, Restaurant, Spa",Hotel,IT,metropolitan city of rome capital,Rome,,"Via Gerolamo Frescobaldi, 5",198,"Via Gerolamo Frescobaldi, 5, 00198 Roma RM",4.191.778.559.999.990,81958.51.00,3906854421,Mobile,alessandra.fioretti@parcodeiprincipi.com,Impiegata Amministraiva,Alessandra,Fioretti,aloisio.christian@parcodeiprincipi.com,Staff Bar,Aloisio,Christian,antonio.napoli@parcodeiprincipi.com,Dirigente Amministrativo,Antonio,Napoli,,,,,,,,http://www.parcodeiprincipi.com/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEa0mh6Q2-fBqEulBYK-B3GghnCTgTZsPOcVkd0N0HNjNjtPNgOkDMX0XiBzB5vfhH0pRgV7CtdH6SU1HBQ7kJpdeuDPSUnGLVY67N6TmxHVu7fMrjKZtbc0yi9H2nAXlpRtEOyHbjQIuUp78GR7w4jFW6fbEvgWLUcfBTZYdFGes1BGaWuoJK5=w800-h500-k-no,3050.0,4.5,"4.5 (Oct-2022), 4.5 (Nov-2022), 4.5 (Jan-2023), 4.5 (Mar-2023), 4.5 (Jan-2024)",1760.0,5 stelle,Operational,"Operational (Oct-2022), Operational (Nov-2022), Operational (Jan-2023), Operational (Mar-2023), Operational (Jan-2024)",,,TRUE,Parco Dei Principi Grand Hotel & Spa,,cbea55b6e8b57d10f3e8abd37b69610d,0x132f611b39461963:0xbd81cf44fe7266d,ChIJYxlGORthLxMRbSbnT_Qc2As,853463965024855661,https://google.com/maps/place/?q=place_id:ChIJYxlGORthLxMRbSbnT_Qc2As,,,FALSE,"{'Other': {'Pool': True, 'Spa': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Star rating': '5 stars', 'Check-out time': '11:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True}}",,25,10000000,,FALSE,2020-11-29T06:45:51.784000,2024-10-23T00:35:53.629000,,,,,,,,,,,
